School_Name,School_Type,Starting_Median_Salary,Mid_Career_Median_Salary,Percentage_increase,Mid_Career_10th_Percentile_Salary,Mid_Career_25th_Percentile_Salary,Mid_Career_75th_Percentile_Salary,Mid_Career_90th_Percentile_Salary
State University of New York (SUNY) at Potsdam,State,38000 ,70300 ,0.85 ,35100 ,51200 ,100000 ,179000 
University of Alabama at Birmingham (UAB),State,39200 ,70100 ,0.79 ,43000 ,53400 ,91400 ,125000 
University of Memphis (U of M),State,41400 ,69700 ,0.68 ,36100 ,49100 ,93500 ,127000 
Boise State University (BSU),State,40800 ,69500 ,0.70 ,37400 ,48700 ,87500 ,110000 
Missouri State University (MSU),State,36100 ,69500 ,0.93 ,33300 ,46900 ,102000 ,134000 
University of Wisconsin (UW) - La Crosse,State,42200 ,69300 ,0.64 ,37500 ,47200 ,93100 ,133000 
Appalachian State University,State,40400 ,69100 ,0.71 ,37200 ,50400 ,90800 ,115000 
Virginia Commonwealth University (VCU),State,42000 ,68400 ,0.63 ,37400 ,51900 ,100000 ,123000 
University of Wisconsin (UW) - Stout,State,43600 ,68300 ,0.57 ,40900 ,50600 ,91600 ,136000 
East Carolina University (ECU),State,40200 ,67500 ,0.68 ,38400 ,52000 ,98700 ,151000 
Utah Valley State College,State,42400 ,67100 ,0.58 ,27000 ,44100 ,84900 ,110000 
University of Missouri - St Louis (UMSL),State,41400 ,67100 ,0.62 ,36800 ,49600 ,97600 ,144000 
Western Carolina University,State,36900 ,66600 ,0.80 ,39000 ,49500 ,94400 ,133000 
University of Wisconsin (UW) - Oshkosh,State,39300 ,66400 ,0.69 ,37700 ,49700 ,90100 ,138000 
State University of New York (SUNY) at Fredonia,State,37800 ,66200 ,0.75 ,32800 ,44200 ,93300 ,181000 
University of Missouri - Kansas City (UMKC),State,38900 ,65800 ,0.69 ,36300 ,48100 ,95800 ,124000 
University of Wisconsin (UW) - Eau Claire,State,41400 ,64800 ,0.57 ,35000 ,47300 ,93100 ,125000 
Ball State University (BSU),State,39100 ,64500 ,0.65 ,35500 ,48200 ,89300 ,128000 
University of North Carolina at Wilmington (UNCW),State,37500 ,64400 ,0.72 ,32100 ,46600 ,97100 ,129000 
University of Wisconsin (UW) - Stevens Point,State,39800 ,64000 ,0.61 ,38400 ,45100 ,95400 ,128000 
University of Southern Maine,State,39400 ,63600 ,0.61 ,40400 ,47900 ,85700 ,117000 
Arkansas State University (ASU),State,38700 ,63300 ,0.64 ,33600 ,45300 ,83900 ,118000 
Kent State University,State,38700 ,62600 ,0.62 ,36100 ,45800 ,87000 ,124000 
Tarleton State University (TSU),State,40800 ,62400 ,0.53 ,32100 ,47400 ,80400 ,126000 
University of Wisconsin (UW) - Green Bay,State,35800 ,60600 ,0.69 ,35500 ,46800 ,81800 ,102000 
Morehead State University,State,34800 ,60600 ,0.74 ,34300 ,46500 ,72000 ,91300 
Austin Peay State University,State,37700 ,59200 ,0.57 ,32200 ,40500 ,73900 ,96200 
Pittsburg State University,State,40400 ,58200 ,0.44 ,25600 ,46000 ,84600 ,117000 
Southern Utah University,State,41900 ,56500 ,0.35 ,30700 ,39700 ,78400 ,116000 
Montana State University - Billings,State,37900 ,50600 ,0.34 ,22600 ,31800 ,78500 ,98900 
